id,price,rooms,bathrooms,square_meters,zone,city,price_per_m2
374,320000,12,2,192,Córdoba,Colon,1667
375,320000,8,3,260,Córdoba,Colon,1231
376,320000,8,3,420,Córdoba,Colon,762
377,340000,4,2,270,Córdoba,Colon,1259
378,350000,7,3,170,Córdoba,Colon,2059
379,360000,6,3,362,Córdoba,Colon,994
380,380000,10,3,469,Córdoba,Colon,810
381,380000,5,2,250,Córdoba,Colon,1520
382,450000,6,3,300,Córdoba,Colon,1500
383,450000,3,3,480,Córdoba,Colon,938
384,460000,5,2,420,Córdoba,Colon,1095
385,460000,6,2,260,Córdoba,Colon,1769
386,480000,5,2,351,Córdoba,Colon,1368
387,490000,8,3,135,Córdoba,Colon,3630
388,649000,4,4,500,Córdoba,Colon,1298
389,800000,8,4,680,Córdoba,Colon,1176
390,57900,5,2,260,Córdoba,Córdoba,223
391,75000,8,2,140,Córdoba,Córdoba,536
392,79999,4,2,238,Córdoba,Córdoba,336
393,88000,12,3,190,Córdoba,Córdoba,463
394,125000,6,2,132,Córdoba,Córdoba,947
395,129000,9,3,200,Córdoba,Córdoba,645
396,142000,3,1,105,Córdoba,Córdoba,1352
397,149000,6,2,258,Córdoba,Córdoba,578
398,150000,5,2,149,Córdoba,Córdoba,1007
399,155000,5,1,90,Córdoba,Córdoba,1722
400,169000,5,2,179,Córdoba,Córdoba,944
401,173900,7,3,228,Córdoba,Córdoba,763
402,175000,5,2,266,Córdoba,Córdoba,658
403,189000,5,1,157,Córdoba,Córdoba,1204
404,190000,10,2,130,Córdoba,Córdoba,1462
405,195000,8,2,350,Córdoba,Córdoba,557
406,195000,4,2,125,Córdoba,Córdoba,1560
407,207995,4,2,171,Córdoba,Córdoba,1216
408,230000,5,2,188,Córdoba,Córdoba,1223
409,230000,8,4,300,Córdoba,Córdoba,767
410,240000,14,3,294,Córdoba,Córdoba,816
411,250000,4,2,210,Córdoba,Córdoba,1190
412,250000,6,3,178,Córdoba,Córdoba,1404
413,260000,4,4,277,Córdoba,Córdoba,939
414,275000,5,2,211,Córdoba,Córdoba,1303
415,285000,6,3,287,Córdoba,Córdoba,993
416,295000,5,2,170,Córdoba,Córdoba,1735
417,320000,7,4,359,Córdoba,Córdoba,891
418,320000,6,2,180,Córdoba,Córdoba,1778
419,320000,3,3,223,Córdoba,Córdoba,1435
420,325000,12,4,386,Córdoba,Córdoba,842
421,350000,7,2,208,Córdoba,Córdoba,1683
422,380000,6,3,300,Córdoba,Córdoba,1267
423,390000,5,2,230,Córdoba,Córdoba,1696
424,390000,7,3,347,Córdoba,Córdoba,1124
425,420000,15,4,438,Córdoba,Córdoba,959
426,476000,7,4,337,Córdoba,Córdoba,1412
427,630000,12,4,422,Córdoba,Córdoba,1493
428,640000,4,4,426,Córdoba,Córdoba,1502
429,650000,12,4,450,Córdoba,Córdoba,1444
430,670000,4,4,356,Córdoba,Córdoba,1882
431,700000,7,3,420,Córdoba,Córdoba,1667
432,700000,15,4,564,Córdoba,Córdoba,1241
433,910000,4,4,562,Córdoba,Córdoba,1619
434,930000,9,4,450,Córdoba,Córdoba,2067
435,40000,2,1,181,Córdoba,Punilla,221
436,46500,4,1,118,Córdoba,Punilla,394
437,49900,6,2,130,Córdoba,Punilla,384
438,55000,4,1,90,Córdoba,Punilla,611
439,59999,8,1,155,Córdoba,Punilla,387
440,63500,2,2,73,Córdoba,Punilla,870
441,64999,3,1,687,Córdoba,Punilla,95
442,67000,2,1,55,Córdoba,Punilla,1218
443,69500,5,1,140,Córdoba,Punilla,496
444,72900,4,1,68,Córdoba,Punilla,1072
445,73500,3,1,80,Córdoba,Punilla,919
446,74500,3,1,50,Córdoba,Punilla,1490
447,74999,4,1,86,Córdoba,Punilla,872
448,75000,3,1,116,Córdoba,Punilla,647
449,80000,3,2,120,Córdoba,Punilla,667
450,83000,2,2,127,Córdoba,Punilla,654
451,88000,3,1,103,Córdoba,Punilla,854
452,90000,7,2,146,Córdoba,Punilla,616
453,94000,3,2,116,Córdoba,Punilla,810
454,97000,6,2,124,Córdoba,Punilla,782
455,110000,6,3,324,Córdoba,Punilla,340
456,120000,3,2,140,Córdoba,Punilla,857
457,124999,5,1,88,Córdoba,Punilla,1420
458,125000,2,1,80,Córdoba,Punilla,1562
459,125000,4,1,120,Córdoba,Punilla,1042
460,134900,6,2,210,Córdoba,Punilla,642
461,135000,3,2,83,Córdoba,Punilla,1627
462,135000,5,1,145,Córdoba,Punilla,931
463,138000,4,2,108,Córdoba,Punilla,1278
464,140000,5,3,167,Córdoba,Punilla,838
465,148000,3,1,116,Córdoba,Punilla,1276
466,150000,5,2,180,Córdoba,Punilla,833
467,163000,4,2,158,Córdoba,Punilla,1032
468,189000,4,2,200,Córdoba,Punilla,945
469,190000,5,3,180,Córdoba,Punilla,1056
470,198000,3,1,130,Córdoba,Punilla,1523
471,200000,7,2,170,Córdoba,Punilla,1176
472,225000,6,3,289,Córdoba,Punilla,779
473,225000,6,3,289,Córdoba,Punilla,779
474,249000,12,5,250,Córdoba,Punilla,996
475,255000,4,2,150,Córdoba,Punilla,1700
